# Date: 19-08-2021 15-27-52
# T1 Inversion Recovery Measurement
# Field: 3400.0 G
# 2 dB
# 9750
# Repetition Rate: 1000 Hz
# Number of Scans: 2
# Averages: 10
# Window: 80 ns
# Temperature: 298 K
# Pulse List: 
# testTime (trig. delta_start), X (V*s), Y (V*s)
0.0000e+00,2.9454e-01,7.5322e-01
4.0000e+00,2.6273e-01,8.1035e-02
8.0000e+00,3.7531e-01,3.5278e-01
1.2000e+01,9.5565e-02,5.1726e-01
1.6000e+01,5.1839e-01,2.5031e-01
2.0000e+01,5.9663e-01,4.4382e-01
2.4000e+01,4.4353e-01,7.2600e-01
2.8000e+01,3.7325e-01,5.8569e-01
3.2000e+01,3.7054e-01,7.4244e-01
3.6000e+01,2.0326e-01,4.2901e-01
4.0000e+01,6.6136e-01,6.0738e-01
4.4000e+01,3.6945e-01,4.2270e-01
4.8000e+01,6.7482e-01,5.4037e-01
5.2000e+01,6.8286e-01,5.8679e-01
5.6000e+01,5.8824e-01,1.6232e-01
6.0000e+01,5.1033e-01,3.0486e-01
6.4000e+01,7.0386e-01,6.9401e-01
6.8000e+01,3.6833e-01,6.6520e-01
7.2000e+01,6.5269e-01,7.5383e-01
7.6000e+01,2.8682e-01,4.8995e-01
8.0000e+01,6.0318e-02,7.0597e-01
8.4000e+01,2.3580e-01,3.8066e-01
8.8000e+01,5.1840e-01,7.2401e-01
9.2000e+01,7.2028e-01,4.1747e-01
9.6000e+01,5.2474e-01,2.8911e-01
1.0000e+02,9.0798e-01,2.1811e-01
1.0400e+02,1.6587e-01,6.8868e-01
1.0800e+02,3.9970e-01,2.2157e-01
1.1200e+02,5.0303e-01,5.0477e-01
1.1600e+02,7.3192e-01,7.1331e-02
1.2000e+02,2.0308e-01,5.9784e-01
1.2400e+02,6.8285e-01,6.5964e-01
1.2800e+02,5.7753e-01,9.3577e-01
1.3200e+02,4.5800e-01,1.3009e-01
1.3600e+02,4.5847e-01,2.6786e-01
1.4000e+02,1.9607e-01,3.5579e-01
1.4400e+02,5.8260e-01,7.9681e-01
1.4800e+02,4.7765e-01,4.9585e-01
1.5200e+02,2.3991e-01,2.3952e-01
1.5600e+02,3.2557e-01,1.2321e-01
1.6000e+02,4.0635e-01,5.1958e-01
1.6400e+02,5.8712e-01,3.8781e-01
1.6800e+02,4.8646e-01,6.6065e-01
1.7200e+02,6.3220e-01,1.2972e-01
1.7600e+02,2.9915e-01,5.9220e-01
1.8000e+02,3.2343e-01,1.2480e-01
1.8400e+02,1.8596e-01,2.5457e-01
1.8800e+02,4.8873e-01,3.9791e-01
1.9200e+02,5.7377e-01,4.4529e-01
1.9600e+02,5.5456e-01,7.2305e-01
2.0000e+02,2.4325e-01,5.7084e-01
2.0400e+02,7.3276e-01,1.6368e-01
2.0800e+02,7.0487e-01,4.1708e-01
2.1200e+02,6.1660e-01,9.2193e-01
2.1600e+02,5.3675e-01,8.1295e-01
2.2000e+02,4.5836e-01,5.7582e-01
2.2400e+02,5.4652e-01,2.4044e-01
2.2800e+02,7.7811e-01,5.9991e-01
2.3200e+02,3.6614e-01,3.0652e-01
2.3600e+02,2.2834e-01,3.8434e-01
2.4000e+02,5.4503e-01,1.7189e-01
2.4400e+02,3.4952e-01,1.5352e-01
2.4800e+02,5.9370e-01,8.0873e-01
2.5200e+02,8.8346e-01,8.6913e-01
2.5600e+02,3.0820e-01,8.7508e-01
2.6000e+02,4.3309e-01,8.1861e-01
2.6400e+02,9.0779e-01,3.3790e-01
2.6800e+02,1.2013e-01,7.3022e-02
2.7200e+02,9.2197e-01,4.8578e-01
2.7600e+02,4.8724e-01,7.1441e-01
2.8000e+02,6.9108e-01,7.6721e-01
2.8400e+02,6.1388e-01,6.7392e-01
2.8800e+02,4.5226e-01,5.9755e-01
2.9200e+02,3.0269e-01,5.5551e-01
2.9600e+02,4.7749e-01,5.4686e-01
3.0000e+02,2.2299e-01,5.6011e-01
3.0400e+02,5.0615e-01,5.0598e-01
3.0800e+02,4.4033e-01,7.8835e-02
3.1200e+02,7.6134e-01,5.5364e-01
3.1600e+02,7.0474e-01,2.5402e-01
3.2000e+02,3.5874e-01,4.5309e-01
3.2400e+02,6.1177e-01,5.0310e-01
3.2800e+02,3.3146e-01,3.4266e-01
3.3200e+02,3.9110e-01,5.4599e-01
3.3600e+02,5.9604e-01,4.0296e-01
3.4000e+02,3.5845e-01,2.2161e-01
3.4400e+02,2.1077e-01,2.8109e-01
3.4800e+02,6.2615e-01,4.1141e-01
3.5200e+02,6.4188e-02,5.8671e-01
3.5600e+02,6.5840e-01,7.3640e-01
3.6000e+02,3.5858e-01,7.1885e-01
3.6400e+02,1.9757e-01,6.1136e-01
3.6800e+02,3.3217e-01,6.2460e-01
3.7200e+02,5.2368e-01,5.5904e-01
3.7600e+02,5.6026e-01,8.1492e-01
3.8000e+02,2.9512e-01,5.2269e-01
3.8400e+02,4.6537e-01,4.3601e-01
3.8800e+02,3.2650e-01,6.9603e-01
3.9200e+02,6.5230e-01,7.0369e-01
3.9600e+02,5.7861e-01,5.4067e-01
4.0000e+02,5.9758e-01,5.8605e-01
4.0400e+02,3.1470e-01,1.6904e-01
4.0800e+02,4.2610e-01,6.7585e-01
4.1200e+02,5.5885e-01,5.2619e-01
4.1600e+02,3.9279e-01,7.3324e-01
4.2000e+02,5.1673e-01,4.7810e-01
4.2400e+02,5.4910e-01,5.4432e-01
4.2800e+02,5.2511e-01,4.9392e-01
4.3200e+02,4.9078e-01,6.5250e-01
4.3600e+02,5.2947e-01,5.5900e-01
4.4000e+02,6.5632e-01,5.1659e-01
4.4400e+02,7.8590e-01,4.0665e-01
4.4800e+02,9.0671e-01,4.4676e-01
4.5200e+02,2.0271e-01,4.9920e-01
4.5600e+02,5.6180e-01,3.2316e-01
4.6000e+02,2.7990e-01,3.3466e-01
4.6400e+02,4.0769e-01,2.6410e-01
4.6800e+02,3.0990e-01,4.3463e-01
4.7200e+02,1.3173e-01,6.6412e-01
4.7600e+02,3.8645e-01,2.9808e-01
4.8000e+02,8.5838e-01,6.2616e-01
4.8400e+02,2.5438e-01,4.2487e-01
4.8800e+02,2.5665e-01,7.9670e-01
4.9200e+02,4.7307e-01,3.9414e-01
4.9600e+02,4.0905e-01,3.9847e-01
5.0000e+02,5.3339e-01,5.0100e-01
5.0400e+02,5.4023e-01,4.5987e-01
5.0800e+02,5.2145e-01,2.4836e-01
5.1200e+02,6.4702e-01,7.2985e-01
5.1600e+02,5.5578e-01,5.2008e-01
5.2000e+02,5.5552e-01,4.1329e-01
5.2400e+02,5.8843e-01,4.7420e-01
5.2800e+02,5.4472e-01,3.2969e-01
5.3200e+02,4.8020e-01,9.3639e-01
5.3600e+02,5.5357e-01,7.1838e-01
5.4000e+02,6.5088e-01,3.4793e-01
5.4400e+02,6.9511e-01,5.4479e-01
5.4800e+02,6.6691e-01,8.6018e-01
5.5200e+02,5.1445e-01,8.3567e-01
5.5600e+02,1.3145e-01,6.8465e-01
5.6000e+02,3.8075e-01,7.1783e-01
5.6400e+02,6.6963e-01,2.6763e-01
5.6800e+02,2.2159e-01,2.8381e-01
5.7200e+02,7.9663e-01,6.4204e-01
5.7600e+02,9.1158e-02,4.8950e-01
5.8000e+02,2.8498e-01,3.5481e-01
5.8400e+02,8.7652e-01,4.8225e-01
5.8800e+02,4.5286e-01,9.0739e-01
5.9200e+02,4.7602e-01,5.6133e-01
5.9600e+02,5.0935e-01,4.1275e-01
6.0000e+02,7.4410e-01,4.5060e-01
6.0400e+02,3.8321e-01,4.2402e-01
6.0800e+02,6.3692e-01,3.7344e-01
6.1200e+02,7.5486e-01,5.0302e-01
6.1600e+02,6.6493e-01,4.0760e-01
6.2000e+02,3.4203e-01,7.3732e-01
6.2400e+02,6.7871e-01,3.9659e-01
6.2800e+02,3.0026e-01,6.7466e-01
6.3200e+02,4.6811e-01,2.5132e-01
6.3600e+02,8.0278e-01,3.7456e-01
6.4000e+02,4.3826e-01,4.1463e-01
6.4400e+02,5.8354e-01,7.6190e-01
6.4800e+02,4.5516e-01,7.5151e-01
6.5200e+02,4.3286e-01,3.9517e-01
6.5600e+02,7.7535e-01,4.5577e-01
6.6000e+02,6.1679e-01,2.8678e-01
6.6400e+02,6.0906e-01,3.6337e-01
6.6800e+02,3.0656e-01,6.9294e-01
6.7200e+02,2.9241e-01,8.1829e-01
6.7600e+02,5.0057e-01,6.3143e-01
6.8000e+02,1.5351e-01,7.5585e-01
6.8400e+02,4.9789e-01,4.6001e-01
6.8800e+02,9.8598e-01,5.3895e-01
6.9200e+02,6.4321e-01,7.1740e-01
6.9600e+02,4.1993e-01,4.5578e-01
7.0000e+02,4.8409e-01,6.3280e-01
7.0400e+02,5.6504e-01,5.5611e-01
7.0800e+02,7.3143e-01,6.4623e-01
7.1200e+02,4.9154e-01,6.5715e-01
7.1600e+02,3.5012e-01,6.6910e-01
7.2000e+02,2.0679e-01,7.2068e-01
7.2400e+02,5.7243e-01,6.9227e-01
7.2800e+02,6.0245e-01,5.7190e-01
7.3200e+02,4.2096e-01,5.7999e-01
7.3600e+02,1.9795e-01,4.9556e-01
7.4000e+02,7.0465e-01,5.5134e-01
7.4400e+02,5.3176e-02,3.7448e-01
7.4800e+02,6.9808e-01,1.8699e-01
7.5200e+02,7.8044e-01,6.5980e-01
7.5600e+02,7.0532e-01,4.7353e-01
7.6000e+02,7.0367e-01,3.3635e-01
7.6400e+02,2.9111e-01,7.9665e-01
7.6800e+02,3.5484e-01,7.3635e-01
7.7200e+02,8.1400e-01,7.2734e-01
7.7600e+02,3.4235e-01,6.8824e-01
7.8000e+02,1.4708e-01,5.8053e-01
7.8400e+02,9.1630e-01,7.5064e-01
7.8800e+02,6.0315e-01,4.4698e-01
7.9200e+02,7.1706e-01,5.7502e-01
7.9600e+02,7.7051e-01,4.5386e-01
8.0000e+02,6.3911e-01,2.9821e-01
8.0400e+02,7.6057e-01,3.4174e-01
8.0800e+02,8.0804e-01,4.2039e-01
8.1200e+02,2.5546e-01,5.0321e-01
8.1600e+02,6.7212e-01,9.4801e-01
8.2000e+02,4.7704e-01,3.3342e-01
8.2400e+02,5.9340e-01,2.5064e-01
8.2800e+02,4.8066e-01,3.7852e-01
8.3200e+02,4.5192e-01,2.0451e-01
8.3600e+02,3.7631e-01,5.2575e-01
8.4000e+02,4.4363e-01,4.3726e-01
8.4400e+02,6.0504e-01,2.8613e-01
8.4800e+02,1.9013e-01,5.1362e-01
8.5200e+02,7.3942e-01,6.6384e-01
8.5600e+02,4.3372e-01,6.2662e-01
8.6000e+02,2.2921e-01,2.5412e-01
8.6400e+02,9.2963e-01,8.1772e-01
8.6800e+02,1.3057e-01,2.2506e-01
8.7200e+02,4.4185e-01,4.0201e-01
8.7600e+02,4.9323e-01,5.0722e-01
8.8000e+02,2.2973e-01,3.5136e-01
8.8400e+02,3.7484e-01,3.2670e-01
8.8800e+02,3.9440e-01,6.7702e-01
8.9200e+02,2.5498e-01,6.8948e-01
8.9600e+02,2.6337e-01,5.1104e-01
9.0000e+02,3.1724e-01,5.1591e-01
9.0400e+02,4.9947e-01,5.1170e-01
9.0800e+02,6.3617e-01,5.2736e-01
9.1200e+02,4.9127e-01,2.2166e-01
9.1600e+02,5.7513e-01,3.8844e-01
9.2000e+02,4.8460e-01,1.8090e-01
9.2400e+02,4.6766e-01,8.5358e-01
9.2800e+02,6.8759e-01,4.9628e-01
9.3200e+02,5.2666e-01,3.0968e-01
9.3600e+02,5.9246e-01,5.7611e-01
9.4000e+02,5.1025e-01,3.0485e-01
9.4400e+02,5.0633e-01,6.6087e-01
9.4800e+02,4.9281e-01,6.8233e-01
9.5200e+02,4.8216e-01,8.7827e-01
9.5600e+02,2.3116e-01,1.3185e-01
9.6000e+02,3.0074e-01,3.8980e-01
9.6400e+02,5.0150e-01,3.7668e-01
9.6800e+02,5.7098e-01,7.3995e-01
9.7200e+02,6.2014e-01,2.4623e-01
9.7600e+02,5.6840e-01,5.7264e-01
9.8000e+02,4.9582e-01,9.1015e-01
9.8400e+02,4.3532e-01,5.5499e-01
9.8800e+02,8.9955e-01,6.7019e-01
9.9200e+02,2.3137e-01,7.6714e-01
9.9600e+02,3.6097e-01,2.7398e-01
1.0000e+03,2.7125e-01,4.6665e-01
1.0040e+03,2.8974e-01,4.6473e-01
1.0080e+03,5.1916e-01,2.3493e-01
1.0120e+03,5.5506e-01,5.7777e-01
1.0160e+03,7.4141e-01,5.8471e-01
1.0200e+03,4.1301e-01,4.1582e-01
1.0240e+03,6.4196e-01,3.4751e-01
1.0280e+03,6.4983e-01,6.5727e-01
1.0320e+03,5.7443e-01,7.0140e-01
1.0360e+03,5.4167e-01,1.4854e-01
1.0400e+03,5.2221e-01,2.2097e-01
1.0440e+03,5.5047e-01,9.0920e-01
1.0480e+03,4.1681e-01,6.7615e-01
1.0520e+03,1.5649e-01,6.5618e-01
1.0560e+03,3.8907e-01,3.8026e-01
1.0600e+03,4.9608e-01,2.8843e-01
1.0640e+03,3.1068e-01,1.1904e-01
1.0680e+03,3.4596e-01,4.2248e-01
1.0720e+03,8.5188e-01,8.1108e-01
1.0760e+03,5.9568e-01,5.0074e-01
1.0800e+03,3.7695e-01,1.7319e-02
1.0840e+03,4.2927e-01,5.7246e-01
1.0880e+03,4.7820e-01,5.3799e-01
1.0920e+03,3.4189e-01,7.3821e-01
1.0960e+03,5.5752e-01,1.9168e-01
1.1000e+03,3.5027e-01,6.3891e-01
1.1040e+03,5.4916e-01,6.1534e-01
1.1080e+03,2.0214e-01,1.2610e-01
1.1120e+03,1.7054e-01,2.7253e-01
1.1160e+03,6.7493e-01,2.3518e-01
1.1200e+03,8.9477e-01,4.9913e-01
1.1240e+03,5.9185e-01,4.3979e-01
1.1280e+03,4.7825e-01,1.6585e-01
1.1320e+03,3.5630e-01,3.8443e-02
1.1360e+03,3.1088e-01,3.8115e-01
1.1400e+03,6.9584e-01,1.1781e-01
1.1440e+03,6.7014e-01,5.8820e-01
1.1480e+03,5.4473e-01,6.2081e-01
1.1520e+03,4.4458e-01,7.2700e-01
1.1560e+03,6.1975e-01,3.0164e-01
1.1600e+03,5.0855e-01,3.8560e-01
1.1640e+03,8.0060e-01,3.7445e-01
1.1680e+03,6.6699e-01,8.0411e-01
1.1720e+03,4.8781e-01,3.6524e-01
1.1760e+03,3.4142e-01,8.2263e-01
1.1800e+03,8.3350e-01,5.4918e-01
1.1840e+03,6.1737e-01,8.9073e-01
1.1880e+03,5.9355e-01,5.3989e-01
1.1920e+03,4.6466e-01,6.0709e-01
1.1960e+03,7.6570e-01,7.5759e-01
1.2000e+03,7.5055e-01,5.8544e-01
1.2040e+03,4.7904e-01,4.2559e-01
1.2080e+03,5.9617e-01,5.8209e-01
1.2120e+03,7.9589e-01,7.0337e-01
1.2160e+03,4.8898e-01,4.5107e-01
1.2200e+03,2.8859e-01,5.7783e-01
1.2240e+03,6.6184e-01,4.0469e-01
1.2280e+03,2.7949e-01,5.3606e-01
1.2320e+03,4.4338e-01,2.1835e-01
1.2360e+03,1.3963e-01,5.8314e-01
1.2400e+03,5.9262e-01,3.8966e-01
1.2440e+03,6.8983e-01,4.4436e-01
1.2480e+03,7.5969e-01,5.8200e-01
1.2520e+03,4.8004e-01,4.0857e-01
1.2560e+03,6.5857e-01,5.1025e-01
1.2600e+03,3.8499e-01,5.9266e-01
1.2640e+03,4.8701e-01,2.8491e-01
1.2680e+03,2.9842e-01,2.9911e-01
1.2720e+03,4.6505e-01,4.2064e-01
1.2760e+03,4.8681e-01,2.1288e-01
1.2800e+03,2.7455e-01,6.0621e-01
1.2840e+03,4.6763e-01,1.7896e-01
1.2880e+03,1.1257e-01,4.9742e-01
1.2920e+03,7.3234e-01,2.0268e-01
1.2960e+03,7.6928e-01,4.4461e-01
1.3000e+03,7.0044e-01,4.9726e-01
1.3040e+03,8.2051e-01,4.2187e-01
1.3080e+03,6.5029e-01,8.0997e-01
1.3120e+03,2.3228e-01,2.1401e-01
1.3160e+03,6.7344e-01,4.7492e-01
1.3200e+03,5.8445e-02,1.5088e-01
1.3240e+03,4.5948e-01,4.9231e-01
1.3280e+03,6.9089e-01,5.8073e-01
1.3320e+03,2.2809e-01,4.3392e-01
1.3360e+03,5.5797e-01,8.6615e-01
1.3400e+03,3.7759e-01,7.5817e-01
1.3440e+03,3.3560e-01,4.7150e-01
1.3480e+03,4.6071e-01,1.4530e-01
1.3520e+03,1.4882e-01,7.9582e-01
1.3560e+03,7.2983e-01,6.7919e-01
1.3600e+03,4.8826e-01,8.4918e-01
1.3640e+03,7.5481e-01,1.8533e-01
1.3680e+03,6.1599e-01,7.2064e-01
1.3720e+03,5.8273e-01,8.5537e-01
1.3760e+03,4.9737e-01,3.5278e-01
1.3800e+03,4.2864e-01,6.1460e-01
1.3840e+03,6.9523e-01,3.1568e-01
1.3880e+03,2.7763e-01,4.0116e-01
1.3920e+03,6.9869e-01,9.1712e-01
1.3960e+03,4.8925e-03,3.5771e-01
1.4000e+03,1.2071e-01,5.2997e-01
1.4040e+03,3.8032e-01,1.4947e-01
1.4080e+03,2.4816e-01,5.4487e-01
1.4120e+03,5.5360e-01,1.3039e-01
1.4160e+03,5.7165e-01,5.9679e-01
1.4200e+03,2.3069e-01,6.3201e-01
1.4240e+03,3.8231e-01,4.3509e-01
1.4280e+03,5.1842e-01,1.9494e-01
1.4320e+03,6.4224e-01,8.0454e-01
1.4360e+03,1.4589e-01,9.7480e-02
1.4400e+03,3.8323e-01,1.2298e-01
1.4440e+03,2.1851e-01,4.2969e-01
1.4480e+03,4.5106e-01,7.1579e-01
1.4520e+03,6.7662e-01,3.8933e-01
1.4560e+03,7.3977e-01,2.6379e-01
1.4600e+03,2.6837e-01,1.9900e-01
1.4640e+03,3.2053e-01,2.3361e-01
1.4680e+03,8.0116e-01,3.7657e-01
1.4720e+03,4.1311e-01,5.6108e-01
1.4760e+03,2.5602e-01,5.0575e-01
1.4800e+03,2.3355e-01,7.0979e-01
1.4840e+03,3.7776e-01,4.5093e-01
1.4880e+03,3.7007e-01,3.9956e-01
1.4920e+03,5.0152e-01,7.6351e-01
1.4960e+03,4.2930e-01,6.4467e-01
1.5000e+03,4.2470e-01,1.9488e-01
1.5040e+03,1.4368e-01,1.6894e-01
1.5080e+03,4.1644e-01,5.3278e-01
1.5120e+03,2.3651e-01,5.7151e-01
1.5160e+03,3.8204e-01,1.9881e-01
1.5200e+03,7.7000e-01,3.9650e-01
